date, pm25, pm10, o3, no2, so2, co
2024/6/9, 82, 41, 17, 5, 4, 6
2024/6/10, 66, 55, 13, 5, 3, 5
2024/6/11, 93, 48, 13, 8, 4, 4
2024/6/12, 76, 45, 15, 7, 4, 6
2024/6/13, 74, 39, 10, 7, 4, 7
2024/6/14, 63, 45, 14, 7, 4, 5
2024/6/15, 72, 42, 13, 6, 4, 4
2024/6/16, 67, 30, 5, 6, 3, 8
2024/6/17, 81, 25, 10, 6, 4, 8
2024/6/18, 61, 36, 8, 8, 3, 10
2024/6/19, 79, 34, 8, 8, 4, 7
2024/6/20, 74, 55, 10, 2, 4, 6
2024/6/21, 113, 49, 15, 2, 4, 5
2024/6/22, 103, 30, 16, 2, 4, 6
2024/6/23, 68, 31, 14, 1, 4, 7
2024/6/24, 70, 40, 13, 2, 4, 8
2024/6/25, 85, 18, 13, 3, 4, 6
2024/6/26, 48, 28, 11, 2, 4, 6
2024/6/27, 65, 16, 8, 2, 4, 6
2024/6/28, 40, 35, 8, 3, 3, 6
2024/6/29, 75, 22, 1, 1, 4, 7
2024/6/30, 56, 30, 6, 1, 4, 5
2024/1/1, 142, 67, 19, 1, , 3
2024/1/2, 134, 77, 20, 1, , 3
2024/1/3, 151, 72, 16, 1, 1, 3
2024/1/4, 142, 57, 15, 1, 1, 3
2024/1/5, 113, 70, 5, 1, , 3
2024/1/6, 136, 61, 12, 1, , 3
2024/1/7, 120, 51, 41, 1, 14, 3
2024/1/8, 104, 60, 7, 1, 1, 3
2024/1/9, 117, 41, 26, 1, 1, 3
2024/1/10, 79, 53, 15, 1, , 3
2024/1/11, 99, 63, 21, 1, 1, 3
2024/1/12, 124, 61, 12, 1, 1, 3
2024/1/13, 121, 56, 7, 1, , 3
2024/1/14, 106, 25, 12, 1, 2, 3
2024/1/15, 61, 59, 22, 1, 1, 3
2024/1/16, 135, 81, 28, 1, , 3
2024/1/17, 159, 65, 26, 1, 1, 3
2024/1/18, 136, 63, 1, 1, , 3
2024/1/19, 133, 64, 20, 1, , 3
2024/1/20, 136, 58, 22, 1, 1, 3
2024/1/21, 122, 60, 23, 1, 2, 3
2024/1/22, 127, 67, 23, 1, , 3
2024/1/23, 132, 59, 24, 1, 1, 3
2024/1/24, 118, 79, 22, 1, 6, 3
2024/1/25, 140, 107, 23, 1, 2, 3
2024/1/26, 174, 89, 27, 1, 1, 3
2024/1/27, 157, 78, 29, 1, , 3
2024/1/28, 150, 74, 18, , , 3
2024/1/29, 146, 78, 27, 1, , 3
2024/1/30, 156, 64, 17, , , 3
2024/1/31, 135, 51, 15, , , 3
2024/2/1, 108, 59, 20, , , 3
2024/2/2, 120, 97, , 1, , 3
2024/2/3, 170, 78, 34, , 1, 3
2024/2/4, 153, 72, 20, , , 3
2024/2/5, 145, 61, 12, , , 3
2024/2/6, 125, 74, 19, , , 3
2024/2/7, 149, 67, 21, , , 3
2024/2/8, 134, 69, 24, , 1, 3
2024/2/9, 147, 66, 27, , 1, 3
2024/2/10, 139, 54, 21, , 1, 3
2024/2/11, 113, 68, 24, , , 3
2024/2/12, 141, 73, 30, , , 3
2024/2/13, 124, 72, 23, , 2, 3
2024/2/14, 137, 65, 29, , 1, 3
2024/2/15, 127, 60, 15, , 1, 3
2024/2/16, 117, 69, 32, , 2, 3
2024/2/17, 136, 48, 15, , 1, 3
2024/2/18, 89, 45, 15, , , 3
2024/2/19, 96, 97, 12, , 1, 3
