date, pm25, pm10, o3, no2, so2, co
2021/8/6, 74, 39, 7, 7, , 2
2021/8/7, 80, 38, 8, 7, , 2
2021/8/8, 83, 36, 8, 7, , 2
2021/8/9, 77, 40, 7, 8, , 3
2021/8/10, 77, 27, 6, 8, , 4
2021/8/11, 67, 27, 5, 8, , 3
2021/8/12, 70, 34, 6, 7, , 2
2021/8/13, 64, 29, 7, 7, , 2
2021/8/14, 60, 21, 4, 8, , 2
2021/8/15, 61, 26, 6, 7, , 2
2021/8/16, 63, 28, 5, 8, , 2
2021/8/17, 65, 22, 3, 8, , 3
2021/8/18, 57, 22, 5, 6, , 2
2021/8/19, 59, 18, 6, 8, , 3
2021/8/20, 43, 21, 7, 11, , 5
2021/8/21, 57, 22, 7, 7, , 3
2021/8/22, 53, 34, 8, 7, , 3
2021/8/23, 69, 27, 8, 8, , 2
2021/8/24, 57, 27, 6, 7, , 2
2021/8/25, 58, 24, 5, 7, , 2
2021/8/26, 49, 30, 12, 6, , 2
2021/8/27, 60, 41, 9, 6, , 2
2021/8/28, 69, 43, 10, 6, , 2
2021/8/29, 78, 42, 10, 7, , 2
2021/8/30, 83, 21, 6, 9, , 3
2021/8/31, 63, 22, 6, 9, , 2
2021/9/1, 78, 24, 9, 8, , 3
2021/9/2, 54, 16, 5, 6, 6, 2
2021/9/3, 40, , , , , 
2021/9/7, 84, 20, 8, 9, , 4
2021/9/8, 51, 21, 6, 7, , 3
2021/9/9, 47, 18, 4, 6, , 2
2021/9/10, 40, 14, 7, 7, , 3
2021/9/11, 32, 18, 7, 8, , 4
2021/9/12, 59, 16, 10, 8, , 4
2021/9/13, 49, 35, 14, 7, , 3
2021/9/14, 61, 52, 7, 9, , 4
2021/9/15, 82, 48, 9, 7, , 3
2021/9/16, 82, 42, 6, 8, , 3
2021/9/17, 78, 36, 6, 8, , 3
2021/9/18, 70, 23, 2, 6, , 2
2021/9/19, 51, 19, 3, 6, , 3
2021/9/20, 55, 18, 4, 7, , 3
2021/9/21, 49, 195, 2, 7, , 3
2021/9/22, 44, 29, 5, 6, , 2
2021/9/23, 61, 35, 5, 7, , 2
2021/9/24, 73, 32, 8, 5, , 2
2021/9/25, 58, 26, 7, 5, , 1
2021/9/26, 56, 23, 10, 5, , 2
2021/9/27, 50, 17, 6, 8, , 3
2021/9/28, 52, 15, 4, 8, , 3
2021/9/29, 43, 29, 4, 9, , 4
2021/9/30, 51, 28, 10, 6, , 3
2021/4/1, 63, 80, 30, 9, , 
2021/4/2, 101, 76, 41, 8, , 
2021/4/3, 111, 60, 36, 7, , 
2021/4/4, 90, 53, 50, 9, 10, 1
2021/4/5, 94, 56, 66, 8, 1, 2
2021/4/6, 109, 54, 36, 10, 1, 1
2021/4/7, 119, 64, 32, 7, 1, 
2021/4/8, 130, 64, 26, 9, 1, 
2021/4/9, 136, 63, 10, 16, , 3
2021/4/10, 121, 63, 33, 11, 2, 
2021/4/11, 134, 60, 42, 9, 2, 
2021/4/12, 134, 61, 41, 11, 3, 
2021/4/13, 136, 58, 36, 14, 2, 1
2021/4/14, 149, 50, 43, 11, 3, 
2021/4/15, 130, 49, 32, 7, 1, 
2021/4/16, 106, 50, 33, 5, 1, 
2021/4/17, 106, 58, 30, 7, 1, 
2021/4/18, 134, 60, 30, 6, 1, 
2021/4/19, 121, 51, 20, 6, , 
2021/4/20, 121, 51, 19, 6, , 
2021/4/21, 98, 59, 28, 11, , 1
2021/4/22, 110, 51, 29, 6, , 
2021/4/23, 102, 50, 28, 7, , 
2021/4/24, 96, 66, 32, 8, 2, 
2021/4/25, 127, 54, 45, 9, 2, 
2021/4/26, 115, 78, 44, 8, 2, 
2021/4/27, 151, , , , , 
2021/4/29, 109, 51, 38, 11, , 
2021/4/30, 122, 52, 41, 15, , 3
2021/5/1, 131, 61, 39, 14, 1, 1
2021/5/2, 146, 44, 46, 13, , 
2021/5/3, 108, 48, 31, 10, , 
2021/5/4, 119, 43, 34, 8, 6, 10
2021/5/5, 106, 52, 62, 7, , 
2021/5/6, 127, 47, 28, 7, , 
2021/5/7, 96, 44, 31, 6, , 
2021/5/8, 104, 60, 29, , , 
2021/5/9, 119, 39, 26, 5, , 
2021/5/10, 79, 33, 17, 5, , 
2021/5/11, 74, 31, 19, 4, , 
2021/5/12, 71, 33, 26, 4, , 
2021/5/13, 73, 37, 31, 5, 1, 
2021/5/14, 81, 54, 36, 7, 1, 1
2021/5/15, 102, , , , , 
2021/5/17, 62, 31, 6, 7, , 1
2021/5/18, 105, 38, 19, 5, , 
2021/5/19, 107, 89, 28, 4, , 
2021/5/20, 142, 57, 25, 4, , 
2021/5/21, 107, 51, 22, 4, , 
2021/5/22, 88, 53, 28, , , 
2021/5/23, 109, 51, 23, 4, , 
2021/5/24, 98, 46, 9, 4, , 
2021/5/25, 98, , , , , 
2021/5/29, 66, 33, 28, 4, , 
2021/5/30, 76, 38, 20, 6, , 
2021/5/31, 78, 27, 37, 7, 5, 4
2021/6/1, 89, 22, 26, 11, , 1
2021/6/2, 70, 24, 36, 7, , 
2021/6/3, 81, 17, 25, 3, , 
2021/6/4, 74, 20, 14, 3, , 
2021/6/5, 65, 15, 13, 3, , 
2021/6/6, 60, 24, 7, 3, , 
2021/6/7, 73, 24, 10, 3, , 1
2021/6/8, 55, 16, 9, 3, , 
2021/6/9, 41, 9, 28, 3, , 5
2021/6/10, 38, 13, 7, 3, , 2
2021/6/11, 66, 8, 8, 3, , 
2021/6/12, 79, 21, 13, 3, , 
2021/6/13, 72, 31, 10, 3, , 2
2021/6/14, 76, 33, 10, 3, , 3
2021/6/15, 88, 37, 10, 3, , 3
2021/6/16, 87, 24, 12, 13, , 3
2021/6/17, 89, 35, 9, 25, , 2
2021/6/18, 123, 43, 13, 23, , 2
2021/6/19, 101, 62, 11, 21, , 2
2021/6/20, 116, 75, 9, 20, , 2
2021/6/21, 158, 64, 9, 19, , 2
2021/6/22, 137, 50, 10, 19, , 2
2021/6/23, 120, 39, 9, 17, , 2
2021/6/24, 86, 20, 8, 18, , 3
2021/6/25, 58, 35, 10, 14, , 2
2021/6/26, 69, 29, 12, 13, , 2
2021/6/27, 68, 20, 59, 14, 8, 3
2021/6/28, 63, 18, 15, 12, , 2
2021/6/29, 62, 17, 7, 10, , 2
2021/6/30, 48, 23, 6, 12, , 2
2021/1/4, 174, 60, 28, 14, , 2
2021/1/5, 152, 74, 33, 16, , 1
2021/1/6, 158, 55, 17, 18, , 1
2021/1/7, 137, 29, 9, 15, , 2
2021/1/8, 79, 44, 24, 14, , 2
2021/1/9, 120, 58, 22, 18, , 4
2021/1/10, 146, 70, 26, 20, , 8
2021/1/11, 134, 68, 31, 22, , 7
2021/1/12, 139, 52, 23, 14, , 2
2021/1/13, 114, 51, 30, 14, , 2
2021/1/14, 106, 55, 33, 14, , 1
2021/1/15, 120, 58, 34, 15, , 2
2021/1/16, 137, 63, 36, 14, , 1
2021/1/17, 151, 53, 37, 13, , 2
2021/1/18, 124, 43, 25, 11, , 1
2021/1/19, 94, 42, 26, 10, 1, 1
2021/1/20, 105, 58, 59, 12, 5, 1
2021/1/21, 119, 78, 42, 24, 2, 6
2021/1/22, 156, 65, 47, 13, , 1
2021/1/23, 149, 67, 39, 13, , 
2021/1/24, 137, 72, 40, 19, 1, 1
2021/1/25, 138, 73, 40, 17, 1, 1
2021/1/26, 146, 77, 40, 23, 1, 2
2021/1/27, 149, 73, 36, 18, 1, 1
2021/1/28, 145, 85, 41, 34, 4, 6
2021/1/29, 158, 73, 36, 25, 4, 2
2021/1/30, 143, 73, 35, 27, 3, 5
2021/1/31, 149, 81, 32, 30, 4, 9
2021/2/1, 153, 84, 32, 33, 2, 10
2021/2/2, 133, 68, 30, 29, 1, 5
2021/2/3, 131, 63, 30, 20, 1, 2
2021/2/4, 125, 65, 37, 16, 1, 1
2021/2/5, 144, 61, 33, 22, 1, 1
2021/2/6, 111, 65, 36, 27, 2, 5
2021/2/7, 122, 72, 35, 34, 4, 8
2021/2/8, 134, 78, 36, 33, 3, 7
2021/2/9, 136, 68, 40, 30, 2, 5
2021/2/10, 127, 78, 39, 31, 3, 9
2021/2/11, 139, 70, 43, 26, 2, 4
2021/2/12, 138, 76, 43, 18, 3, 1
2021/2/13, 143, 69, 49, 16, 2, 1
2021/2/14, 144, 74, 45, 17, 2, 1
2021/2/15, 146, 67, 40, 13, 1, 
2021/2/16, 121, 65, 35, 23, 2, 2
2021/2/17, 144, 62, 34, 21, 1, 1
2021/2/18, 141, 36, 29, 17, , 1
2021/2/19, 87, 47, 30, 20, , 
2021/2/20, 112, 63, 35, 25, 3, 5
2021/2/21, 134, 72, 35, 30, 1, 7
2021/2/22, 153, 64, 39, 26, 3, 5
2021/2/23, 146, 60, 44, 20, 1, 2
2021/2/24, 147, 65, 44, 14, 1, 1
2021/2/25, 157, 51, 24, 14, 1, 1
2021/2/26, 102, 53, 28, 11, 1, 
2021/2/27, 116, 55, 29, 16, 2, 1
2021/2/28, 128, 52, 47, 15, 1, 1
2021/3/1, 107, 58, 36, 15, 2, 1
2021/3/2, 116, 60, 33, 25, 4, 2
2021/3/3, 120, 61, 35, 22, 5, 2
2021/3/4, 135, 66, 33, 26, 3, 3
2021/3/5, 141, 61, 36, 16, 6, 1
2021/3/6, 149, 53, 35, 11, 1, 1
2021/3/7, 122, 43, 26, 14, 1, 2
2021/3/8, 104, 57, 34, 16, 3, 
2021/3/9, 105, 60, 38, 15, 2, 1
2021/3/10, 118, 68, 41, 14, 3, 1
2021/3/11, 149, 94, 35, 9, 1, 
2021/3/12, 126, 64, 35, 19, 3, 2
2021/3/13, 143, 60, 43, 13, 2, 
2021/3/14, 148, 66, 46, 15, 4, 1
2021/3/15, 162, 64, 41, 13, 1, 1
2021/3/16, 138, 79, 45, 14, 4, 
2021/3/17, 151, 77, 41, 16, 2, 2
2021/3/18, 150, 72, 39, 13, 2, 
2021/3/19, 144, 71, 40, 17, 3, 2
2021/3/20, 138, 66, 41, 18, 3, 1
2021/3/21, 142, 74, 44, 24, 7, 2
2021/3/22, 151, 65, 40, 26, 3, 3
2021/3/23, 142, 62, 40, 21, 1, 3
2021/3/24, 133, 60, 29, 16, 1, 2
2021/3/25, 120, 75, 39, 26, 3, 4
2021/3/26, 134, 75, 41, 17, 4, 2
2021/3/27, 137, 70, 43, 16, 7, 3
2021/3/28, 137, 74, 39, 11, 2, 2
2021/3/29, 145, 57, 27, 9, 1, 
2021/3/30, 120, 59, 23, 9, 1, 
2021/3/31, 109, 79, 23, 8, 1, 
2020/10/1, 77, 37, 20, 9, , 3
2020/10/2, 74, 38, 24, 7, , 3
2020/10/3, 81, 40, 24, 6, , 2
2020/10/4, 79, 33, 21, 5, , 2
2020/10/5, 68, 43, 24, 7, , 3
2020/10/6, 86, 46, 30, 6, , 3
2020/10/7, 90, 51, 36, 10, , 4
2020/10/8, 100, 52, 39, 10, , 5
2020/10/9, 111, 52, 41, 9, , 4
2020/10/10, 108, 57, 34, 8, , 4
2020/10/11, 119, 61, 45, 10, , 5
2020/10/12, 129, 52, 49, 11, , 5
2020/10/13, 110, 48, 25, 8, , 4
2020/10/14, 107, 23, 14, 7, , 3
2020/10/15, 61, 24, 21, 10, , 4
2020/10/16, 54, 29, 23, 7, , 3
2020/10/17, 66, 34, 17, 7, , 2
2020/10/18, 66, 28, 25, 8, , 4
2020/10/19, 71, 37, 32, 7, , 3
2020/10/20, 86, 34, 19, 11, , 5
2020/10/21, 84, 43, 28, 8, , 4
2020/10/22, 109, 37, 29, 12, , 7
2020/10/23, 97, 42, 31, 14, , 6
2020/10/24, 115, 46, 34, 19, , 6
2020/10/25, 102, 42, 33, 12, , 4
2020/10/26, 90, 45, 36, 12, , 4
2020/10/27, 94, 39, 57, 13, 6, 8
2020/10/28, 90, 40, 29, 11, , 4
2020/10/29, 88, 38, 31, 10, , 3
2020/10/30, 82, 48, 35, 12, , 4
2020/10/31, 102, 39, 2, 9, , 3
2020/11/1, 99, 85, 45, 22, 1, 12
2020/11/2, 155, 95, 42, 25, 1, 15
2020/11/3, 168, 64, 42, 13, , 6
2020/11/4, 145, 65, 42, 16, , 8
2020/11/5, 131, 61, 41, 12, , 5
2020/11/6, 139, 74, 40, 21, 1, 8
2020/11/7, 143, 70, 43, 18, 1, 8
2020/11/8, 145, 71, 46, 19, 1, 9
2020/11/9, 148, 81, 40, 20, 2, 9
2020/11/10, 146, 74, 44, 19, 1, 6
2020/11/11, 150, 80, 41, 20, 2, 6
2020/11/12, 156, 66, 24, 18, , 6
2020/11/13, 135, 80, 22, 16, , 6
2020/11/14, 176, 61, 24, 14, , 3
2020/11/15, 126, 63, 31, 15, , 4
2020/11/16, 140, 62, 25, 16, , 6
2020/11/17, 140, 44, 23, 11, , 2
2020/11/18, 103, 53, 28, 10, , 2
2020/11/19, 134, 38, 21, 11, , 2
2020/11/20, 93, 47, 30, 14, , 4
2020/11/21, 110, 55, 31, 13, , 2
2020/11/22, 133, 54, 31, 12, , 2
2020/11/23, 125, 58, 50, 17, 6, 8
2020/11/24, 135, 70, 40, 16, 1, 4
2020/11/25, 155, 65, 47, 17, 1, 2
2020/11/26, 148, 65, 47, 15, , 1
2020/11/27, 144, 53, 42, 13, , 2
2020/11/28, 128, 50, 33, 15, , 3
2020/11/29, 104, 55, 34, 18, , 5
2020/11/30, 130, 62, 39, 20, , 7
2020/12/1, 139, 63, 43, 20, , 5
2020/12/2, 133, 67, 43, 19, , 4
2020/12/3, 142, 71, 38, 22, 1, 5
2020/12/4, 150, 65, 36, 22, 1, 5
2020/12/5, 147, 67, 39, 21, 2, 6
2020/12/6, 143, 72, 38, 27, 1, 7
2020/12/7, 150, 69, 39, 25, 1, 5
2020/12/8, 148, 57, 37, 20, , 4
2020/12/9, 135, 70, 41, 26, 1, 7
2020/12/10, 153, 71, 19, 19, , 2
2020/12/11, 156, 55, 27, 14, , 1
2020/12/12, 123, 43, 23, 12, , 
2020/12/13, 109, 53, 14, 17, , 5
2020/12/14, 126, 47, 27, 13, , 1
2020/12/15, 119, 52, 32, 14, , 1
2020/12/16, 124, 69, 31, 18, , 4
2020/12/17, 149, 75, 37, 17, , 4
2020/12/18, 150, 70, 34, 19, , 3
2020/12/19, 153, 61, 39, 18, 1, 2
2020/12/20, 140, 61, 38, 22, 3, 6
2020/12/21, 132, 74, 39, 29, 2, 7
2020/12/22, 141, 74, 84, 27, 7, 7
2020/12/23, 150, 73, 43, 22, 2, 6
2020/12/24, 150, 81, 40, 26, 1, 4
2020/12/25, 154, 77, 39, 25, 1, 5
2020/12/26, 155, 56, 32, 14, , 1
2020/12/27, 136, 56, 34, 17, 2, 3
2020/12/28, 120, 72, 36, 20, 1, 2
2020/12/29, 136, 77, 38, 21, 1, 2
2020/12/30, 153, 74, 36, 18, , 3
2020/12/31, 163, 76, 29, 16, , 1
2021/1/1, 177, 75, 38, 15, , 1
2021/1/2, 167, , , , , 
2020/7/1, 58, 19, 9, 3, , 3
2020/7/2, 53, 22, 9, 4, , 3
2020/7/3, 45, 12, 9, 4, , 3
2020/7/4, 22, 17, 10, 3, , 3
2020/7/5, 40, 22, 10, 3, , 3
2020/7/6, 42, 18, 18, 3, , 4
2020/7/7, 55, 23, 11, 4, , 4
2020/7/8, 41, 28, 6, 4, , 4
2020/7/9, 50, 30, 6, 3, , 3
2020/7/10, 51, 31, 6, 3, , 3
2020/7/11, 57, 19, 6, 3, , 3
2020/7/12, 67, 21, 8, 3, , 4
2020/7/13, 55, 18, 6, 3, , 3
2020/7/14, 32, 7, 6, 5, , 4
2020/7/15, 36, 14, 8, 4, , 3
2020/7/16, 37, 18, 9, 3, , 3
2020/7/17, 39, 22, 8, 3, , 3
2020/7/18, 40, 25, 7, 3, , 3
2020/7/19, 50, 27, 6, 3, , 3
2020/7/20, 50, 32, 7, 3, , 3
2020/7/21, 46, 21, 31, 3, 6, 4
2020/7/22, 42, 27, 7, 3, , 4
2020/7/23, 34, 20, 6, 7, , 4
2020/7/24, 47, 24, 12, 7, , 4
2020/7/25, 66, 18, 11, 7, , 2
2020/7/26, 68, 12, 9, 6, , 3
2020/7/27, 33, 15, 7, 5, , 3
2020/7/28, 29, 18, 7, 6, , 3
2020/7/29, 54, 16, 13, 6, , 3
2020/7/30, 54, 16, 13, 7, , 4
2020/7/31, 47, 16, 12, 8, , 4
2020/8/1, 49, 16, 13, 7, , 3
2020/8/2, 59, 15, 8, 9, , 4
2020/8/3, 39, 11, 10, 7, , 3
2020/8/4, 29, 7, 20, 7, , 4
2020/8/5, 34, 10, 21, 8, , 4
2020/8/6, 50, 15, 17, 6, , 3
2020/8/7, 50, 16, 8, 6, , 3
2020/8/8, 70, 19, 8, 5, , 3
2020/8/9, 59, 18, 8, 6, , 3
2020/8/10, 93, 17, 7, 7, , 4
2020/8/11, 56, 15, 8, 6, , 4
2020/8/12, 63, 19, 8, 8, , 4
2020/8/13, 42, 14, 8, 8, , 4
2020/8/14, 38, 16, 7, 7, , 4
2020/8/15, 48, 23, 7, 6, , 3
2020/8/16, 62, 19, 4, 8, , 4
2020/8/17, 54, 21, 4, 8, , 3
2020/8/18, 36, 14, 4, 7, , 3
2020/8/19, 46, 17, 4, 7, , 3
2020/8/20, 39, 17, 3, 7, , 4
2020/8/21, 44, 14, 2, 7, , 4
2020/8/22, 61, 17, 5, 6, , 3
2020/8/23, 54, 17, 36, 6, 5, 4
2020/8/24, 41, 23, 4, 7, , 3
2020/8/25, 77, 30, 4, 6, , 3
2020/8/26, 82, 22, 3, 6, , 3
2020/8/27, 70, 20, 3, 8, , 3
2020/8/28, 55, , , , , 
2020/8/30, 14, 20, 3, 10, , 3
2020/8/31, 50, 22, 5, 7, , 3
2020/9/1, 44, 29, 7, 7, , 3
2020/9/2, 52, 37, 15, 8, , 3
2020/9/3, 83, 32, 18, 8, , 4
2020/9/4, 57, 30, 13, 11, , 5
2020/9/5, 62, 34, 12, 11, , 5
2020/9/6, 70, 34, 10, 12, , 6
2020/9/7, 78, 29, 9, 9, , 4
2020/9/8, 64, 29, 18, 11, , 5
2020/9/9, 59, 30, 12, 9, , 4
2020/9/10, 61, 29, 15, 9, , 4
2020/9/11, 57, 20, 11, 8, 2, 4
2020/9/12, 36, 16, 11, 6, , 3
2020/9/13, 45, 23, 8, 6, , 2
2020/9/14, 68, 18, 7, 6, , 2
2020/9/15, 49, 20, 8, 5, , 2
2020/9/16, 54, 18, 7, 5, , 2
2020/9/17, 54, 19, 5, 5, , 2
2020/9/18, 50, 22, 11, 6, , 3
2020/9/19, 58, 18, 14, 7, , 3
2020/9/20, 74, 29, 32, 7, 4, 8
2020/9/21, 88, 22, 14, 9, , 4
2020/9/22, 63, 14, 16, 6, , 3
2020/9/23, 55, 21, 15, 6, , 3
2020/9/24, 45, 20, 10, 6, , 3
2020/9/25, 49, 27, 11, 5, , 2
2020/9/26, 58, 27, 13, 5, , 2
2020/9/27, 51, 27, 15, 7, , 2
2020/9/28, 44, 32, 18, 5, , 2
2020/9/29, 58, 36, 22, 5, , 2
2020/9/30, 66, 39, 21, 5, , 2
2020/4/1, 78, 46, 31, 8, , 3
2020/4/2, 96, 57, 36, 9, , 3
2020/4/3, 121, 39, 39, 9, , 3
2020/4/4, 117, 43, 42, 9, , 3
2020/4/5, 122, 48, 43, 9, , 3
2020/4/6, 109, 49, 35, 9, , 3
2020/4/7, 77, 54, 28, 8, , 2
2020/4/8, 81, 56, 33, 8, , 2
2020/4/9, 85, 54, 40, 9, , 3
2020/4/10, 83, 49, 43, 9, 1, 3
2020/4/11, 90, 50, 43, 9, , 3
2020/4/12, 85, 49, 39, 8, 1, 3
2020/4/13, 86, 47, 41, 8, , 3
2020/4/14, 89, 47, 38, 9, 1, 3
2020/4/15, 81, 47, 40, 10, , 3
2020/4/16, 82, 45, 40, 10, , 3
2020/4/17, 84, 46, 36, 8, 1, 3
2020/4/18, 77, 50, 33, 8, 1, 3
2020/4/19, 87, 42, 34, 9, , 3
2020/4/20, 77, 40, 26, 8, , 3
2020/4/21, 73, 43, 30, 8, , 2
2020/4/22, 65, 46, 30, 8, , 3
2020/4/23, 81, 36, 24, 8, , 2
2020/4/24, 65, 36, 25, 7, , 2
2020/4/25, 64, 39, 28, 7, , 2
2020/4/26, 64, 39, 31, 9, , 2
2020/4/27, 68, 48, 36, 8, , 2
2020/4/28, 70, 53, 41, 9, 1, 3
2020/4/29, 88, 48, 32, 10, , 3
2020/4/30, 79, 47, 36, 9, , 3
2020/5/1, 79, 40, 37, 8, , 2
2020/5/2, 73, 33, 33, 8, , 2
2020/5/3, 64, 32, 24, 7, 1, 2
2020/5/4, 63, 48, 26, 7, , 2
2020/5/5, 68, 61, 28, 7, , 3
2020/5/6, 81, 47, 33, 6, , 2
2020/5/7, 70, 42, 31, 6, , 2
2020/5/8, 62, 41, 31, 7, , 2
2020/5/9, 63, 43, 35, 7, , 2
2020/5/10, 65, 39, 40, 8, , 2
2020/5/11, 65, 40, 28, 7, , 2
2020/5/12, 64, 51, 34, 8, , 3
2020/5/13, 72, 44, 39, 10, , 3
2020/5/14, 67, 43, 34, 9, , 3
2020/5/15, 72, 52, 35, 9, , 3
2020/5/16, 82, 74, 36, 7, , 3
2020/5/17, 100, 57, 45, 6, 4, 5
2020/5/18, 84, 36, 20, 7, , 2
2020/5/19, 66, 31, 25, 6, , 2
2020/5/20, 55, 36, 26, 7, , 2
2020/5/21, 52, 35, 28, 6, , 2
2020/5/22, 55, 37, 33, 6, , 2
2020/5/23, 59, 32, 23, , , 2
2020/5/24, 59, 48, 34, 6, 1, 2
2020/5/25, 64, 38, 27, 5, , 2
2020/5/26, 61, 36, 16, 3, , 2
2020/5/27, 65, 34, 18, 3, , 2
2020/5/28, 60, 27, 18, 3, , 2
2020/5/29, 43, 26, 17, 3, , 2
2020/5/30, 46, 31, , 3, , 2
2020/5/31, 65, 27, 31, 4, , 2
2020/6/1, 50, , , , , 
2020/6/4, 40, 22, 10, 9, 1, 7
2020/6/5, 67, 17, 17, 4, , 2
2020/6/6, 50, 20, 15, 4, , 2
2020/6/7, 51, 18, 20, 4, , 2
2020/6/8, 44, 19, 16, 6, , 3
2020/6/9, 59, 16, 23, 6, , 3
2020/6/10, 48, 16, 35, 6, 5, 4
2020/6/11, 48, 13, 19, 7, , 3
2020/6/12, 51, 19, 21, 8, , 3
2020/6/13, 59, 15, 19, 7, , 3
2020/6/14, 44, 18, 12, 7, , 4
2020/6/15, 46, 23, 28, 5, , 3
2020/6/16, 59, 18, 17, 6, , 3
2020/6/17, 51, 20, 11, 5, , 2
2020/6/18, 37, 32, 11, 4, , 2
2020/6/19, 52, 36, 10, 4, , 2
2020/6/20, 64, 29, 10, 4, , 2
2020/6/21, 62, 38, 12, 3, , 3
2020/6/22, 65, 36, 12, 4, , 2
2020/6/23, 63, 27, 12, 4, , 2
2020/6/24, 40, 24, 15, 4, , 3
2020/6/25, 58, 23, 14, 4, , 3
2020/6/26, 54, 24, 7, 5, , 3
2020/6/27, 65, 25, 9, 4, , 2
2020/6/28, 58, 21, 8, 5, , 4
2020/6/29, 52, 15, 16, 5, , 3
2020/6/30, 46, 15, 9, 4, , 3
2020/1/1, 147, 80, 26, 1, 1, 8
2020/1/2, 149, 57, 22, 1, 1, 6
2020/1/3, 135, 68, 22, 2, 1, 10
2020/1/4, 151, 63, 26, 2, 3, 7
2020/1/5, 133, 70, 26, 3, 2, 11
2020/1/6, 124, 81, 21, 3, 1, 11
2020/1/7, 144, 80, 17, 1, , 6
2020/1/8, 126, 61, 22, 2, 2, 6
2020/1/9, 121, 61, 27, 2, 3, 6
2020/1/10, 113, 69, 28, 3, 2, 11
2020/1/11, 132, 79, 23, 3, 2, 11
2020/1/12, 154, 69, 20, 1, , 6
2020/1/13, 132, 50, 18, 1, , 4
2020/1/14, 88, 49, 26, 1, , 4
2020/1/15, 94, 48, 29, 1, , 3
2020/1/16, 86, 44, 29, 2, 2, 8
2020/1/17, 114, 69, 25, 4, 2, 13
2020/1/18, 155, 68, 24, 3, , 12
2020/1/19, 158, 69, 22, 3, 1, 10
2020/1/20, 150, 66, 17, 2, 1, 8
2020/1/21, 137, 64, 17, 2, 1, 6
2020/1/22, 149, 67, 14, 3, 1, 11
2020/1/23, 158, 64, 32, 3, 2, 10
2020/1/24, 146, 63, 16, 2, 1, 10
2020/1/25, 137, 71, 16, 2, 2, 8
2020/1/26, 138, 100, 21, 1, 1, 6
2020/1/27, 131, 72, 21, 1, 1, 3
2020/1/28, 73, 55, 17, 1, 1, 4
2020/1/29, 71, 62, 20, 2, 2, 7
2020/1/30, 114, 65, 21, 1, 2, 7
2020/1/31, 121, 62, 22, 1, 1, 6
2020/2/1, 125, 65, 23, 2, 4, 8
2020/2/2, 117, 84, 19, 1, 1, 8
2020/2/3, 142, 72, 19, 1, 1, 6
2020/2/4, 135, 74, 21, 1, 4, 7
2020/2/5, 128, 69, 21, 1, 1, 5
2020/2/6, 131, 70, 36, 1, 1, 5
2020/2/7, 139, 65, 40, 3, 1, 6
2020/2/8, 158, 66, 45, 4, 2, 5
2020/2/9, 145, 62, 31, 5, 1, 6
2020/2/10, 134, 59, 30, 14, 1, 8
2020/2/11, 128, 55, 44, 23, 2, 7
2020/2/12, 133, 76, 45, 22, 4, 6
2020/2/13, 158, 70, 56, 19, , 4
2020/2/14, 143, 62, 82, 20, 2, 5
2020/2/15, 143, 71, 57, 23, 3, 7
2020/2/16, 156, 82, 59, 29, 2, 9
2020/2/17, 165, 68, 63, 22, 3, 6
2020/2/18, 155, 51, 61, 17, 1, 5
2020/2/19, 134, 66, 63, 17, 1, 5
2020/2/20, 152, 55, 55, 18, 1, 5
2020/2/21, 139, 56, 64, 20, 3, 5
2020/2/22, 141, 58, 62, 17, 1, 5
2020/2/23, 147, 66, 50, 16, 1, 4
2020/2/24, 133, 57, 42, 19, , 5
2020/2/25, 103, 62, 41, 21, 5, 7
2020/2/26, 111, 65, 53, 27, 8, 9
2020/2/27, 120, 72, 57, 19, 4, 7
2020/2/28, 143, 76, 53, 19, 1, 5
2020/2/29, 141, 51, 8, 16, 1, 3
2020/3/1, 104, 88, 30, 19, , 5
2020/3/2, 127, 81, 23, 14, , 4
2020/3/3, 117, 83, 28, 12, 1, 3
2020/3/4, 116, 81, 17, 12, , 3
2020/3/5, 112, 86, 10, 13, , 3
2020/3/6, 98, 54, 16, 11, , 3
2020/3/7, 70, 63, 8, 13, 2, 3
2020/3/8, 98, 74, 2, 14, 1, 4
2020/3/9, 127, 55, , 12, , 4
2020/3/10, 95, 69, 36, 10, , 2
2020/3/11, 73, 64, 38, 10, , 3
2020/3/12, 74, 44, 59, 8, , 2
2020/3/13, 72, 65, 68, 19, 1, 6
2020/3/14, 105, 73, 71, 20, 2, 5
2020/3/15, 112, 65, 74, 20, 3, 6
2020/3/16, 113, 54, 68, 15, 3, 5
2020/3/17, 103, 52, 40, 14, 1, 4
2020/3/18, 92, 40, 34, 11, , 3
2020/3/19, 78, 59, 22, 10, , 2
2020/3/20, 93, 48, 25, 10, , 3
2020/3/21, 79, 39, 33, 10, 1, 2
2020/3/22, 86, 47, 37, 10, 1, 3
2020/3/23, 92, 56, 38, 12, 2, 3
2020/3/24, 102, 44, 31, 13, 1, 3
2020/3/25, 101, 28, 36, 11, , 3
2020/3/26, 83, 44, 32, 11, 1, 3
2020/3/27, 119, 37, 34, 10, , 3
2020/3/28, 103, 42, 40, 9, 1, 3
2020/3/29, 85, 41, 40, 8, 1, 3
2020/3/30, 98, 39, 78, 9, 1, 3
2020/3/31, 103, 30, 33, 8, , 2
2019/10/1, 58, 19, 12, , , 3
2019/10/2, 48, 24, 13, , 1, 3
2019/10/3, 56, 45, 13, , , 7
2019/10/4, 82, 40, 13, , , 6
